filename, function, length
src/game/unk_0A1DA0.c, update_broken_windows, 880
src/joy.c, joyPoll, 868
src/game/chrobjhandler.c, object_explosion_related, 864
src/game/bg.c, sub_GAME_7F0B6994, 856
src/game/bg.c, sub_GAME_7F0B9F14, 856
src/game/spectrum.c, spectrum_p1controller_to_kempston, 832
src/game/bg.c, sub_GAME_7F0B5528, 828
src/game/chr.c, sub_GAME_7F022648, 824
src/game/spectrum.c, spectrum_draw_screen, 804
src/game/bg.c, sub_GAME_7F0B7A78, 796
src/game/watch.c, sub_GAME_7F0AB908, 788
src/game/bg.c, sub_GAME_7F0B8A6C, 780
src/game/chrprop.c, chraiFistAttackHandler, 772
src/game/chr.c, init_GUARDdata_with_set_values, 764
src/game/bondview.c, sub_GAME_7F07E090, 760
src/game/stan.c, sub_GAME_7F0B1DDC, 756
src/game/textrelated.c, textRender, 752
src/game/bg.c, sub_GAME_7F0BA2D4, 748
src/game/unk_0A1DA0.c, sub_GAME_7F0A2C44, 748
src/game/watch.c, sub_GAME_7F0A97D0, 744
src/game/explosions.c, explosionRenderBulletImpactOnProp, 740
src/game/bondview.c, sub_GAME_7F088618, 720
src/game/stan.c, sub_GAME_7F0B0914, 720
src/game/bondview.c, sub_GAME_7F07B2A0, 716
src/game/mp_watch.c, write_playerrank_to_buffer, 712
src/game/stan.c, sub_GAME_7F0B1410, 692
src/game/bg.c, sub_GAME_7F0B5864, 688
src/game/model.c, sub_GAME_7F06D8B0, 684
src/game/model.c, sub_GAME_7F06DB5C, 680
src/libultrare/audio/env.s, ultra_7001ABB4, 680
src/game/bg.c, sub_GAME_7F0B9338, 672
src/game/textrelated.c, textRenderGlow, 672
src/game/chrobjhandler.c, sub_GAME_7F041160, 672
src/game/chrprop.c, chrpropDeregisterRoom, 672
src/game/chrobjhandler.c, sub_GAME_7F04E720, 668
src/game/chrprop.c, sub_GAME_7F03AB58, 668
src/game/unk_09B7A0.c, sub_GAME_7F09BBBC, 656
src/game/textrelated.c, sub_GAME_7F0AE45C, 656
src/game/explosions.c, unk09c250RenderPropExplosion, 652
src/game/model.c, sub_GAME_7F06E2B8, 648
src/game/chrprop.c, chrpropsRenderPass, 648
src/game/bg.c, sub_GAME_7F0B5208, 640
src/game/fog.c, fogLoadCurrentEnvironment, 632
src/game/gun.c, sub_GAME_7F06A334, 628
src/game/bg.c, sub_GAME_7F0B96CC, 624
src/game/bondview.c, seems_to_load_cuff_microcode, 608
src/game/bg.c, sub_GAME_7F0B6368, 604
src/game/chrobjhandler.c, sub_GAME_7F041BB8, 596
src/game/explosions.c, sub_GAME_7F0A0034, 584
src/game/watch.c, sub_GAME_7F0A9398, 556
src/game/ramromreplay.c, record_player_input_as_packet, 548
src/game/image.c, texFindClosestColourIndexIA, 548
src/game/unk_092E50.c, sub_GAME_7F09365C, 548
src/game/model.c, sub_GAME_7F06D490, 544
src/game/unk_092E50.c, sub_GAME_7F09343C, 544
src/game/chrlv.c, play_sound_for_shot_actor, 540
src/game/model.c, process_02_position, 536
src/game/explosions.c, unk09c250RenderPropSmoke, 536
src/game/chrobjhandler.c, set_color_shading_from_tile, 536
src/game/unk_0A1DA0.c, sub_GAME_7F0A3C08, 532
src/game/objecthandler.c, probably_damage_detail_blood_effect_related, 528
src/game/unk_09B7A0.c, sub_GAME_7F09C044, 524
src/game/bondview.c, sub_GAME_7F087A08, 524
src/game/front.c, constructor_menu00_legalscreen, 524
src/game/gun.c, sub_GAME_7F05EC1C, 520
src/game/chrobjhandler.c, sub_GAME_7F0417DC, 520
src/game/spectrum.c, sub_GAME_7F0D2A84, 512
src/game/chrprop.c, sub_GAME_7F03AF5C, 512
src/game/unk_09B7A0.c, sub_GAME_7F09BE4C, 504
src/game/objecthandler.c, drawjointlist, 500
src/game/textrelated.c, load_font_tables, 492
src/game/stan.c, stanGetMoveBondCollisionTiles, 492
src/game/gun.c, sub_GAME_7F05F73C, 492
src/game/chrobjhandler.c, sub_GAME_7F043650, 488
